stage_name,family_birth_name,given_first_name,gender,role_type,start_year,end_year,birth_year,death_year,birth_country,,,,,,
Tom Smothers,Smothers,Tom,M,light lead,1974,1982,1937,,USA,,,,,,
Wesley Snipes,Snipes,Wesley,M,hip,1991,1993,,,USA,,,,,,
Carrie Snodgrass,Snodgrass,Carrie,F,lead,1968,1983,1946,,USA,,,,,,
Jimmy `The Greek' Snyder,,,M,,,,,,,,,,,,
Park Jong Sod,,,M,,,,,,,,,,,,
Abraham Sofaer,Sofaer,Abraham,M,,1931,1968,1896,,Burma,,,,,,
Sojin,Sojin,,M,villain,1927,,,,Japan,,,,,,
Vladimir Sokoloff,Sokoloff,Vladimir,M,character,1927,1962,1889,1962,Russia,,,,,,
P.J. Soles,,,M,,,,,,,,,,,,
Ewen Solon,Solon,Ewen,M,lead,1959,1961,1923,,New Zealand,,,,,,
Andrew Solt,,,M,,,,,,,,,,,,
Suzanne Somers,Somers,Suzanne,F,lead,1973,1980,1946,,USA,,,,,,
Julie Sommars,,,F,,,,,,,,,,,,
Elke Sommer,Schletz,Elke,F,lead,1960,1971,1940,,Germany,,,,,,
Josef Sommer,Sommer,Josef,M,character,1978,1982,1930,,USA,,,,,,
Gale Sondergaard,Sondergaard,Edith,F,tall, sinister servant,1936,,1899,1985,USA,,,,,
Paul Sonkkila,,,F,,,,,,,,,,,,
Jack Soo,Suzuki,Goro,M,character,1960,,1916,1979,Japan,,,,,,
Alberto Sordi,Sordi,Alberto,M,lead,1953,1978,1919,,Italy,,,,,,
Jean Sorel,de Rochbrune,Jean,M,lead,1962,1967,1934,,France,,,,,,
Louise Sorel,Sorel,Louise,F,lead,1965,1971,1944,,France,,,,,,
Linda Sorenson,,,F,,,,,,,,,,,,
Paul Sorvino,Sorvino,Paul,M,chubby,1972,1981,1939,,USA,,,,,,
Ann Sothern,Lake,Harriette,F,hard-boiled, soft-centered golddigger,1934,,1909,,USA,,,,,
Talisa Soto,,,F,Lustrous,1989,1992,,,,,,,,,
David Soul,Solberg,David,M,lead,1971,1983,1943,,USA,,,,,,
Catherine Spaak,Spaak,Catherine,F,lead,1960,1975,1945,,Belgium,,,,,,
Arthur Space,Space,Arthur,M,character,1942,1980,1908,1983,USA,,,,,,
Sissy Spacek,Spacek,Sissy,F,tomboyish,1971,1982,1950,,USA,,,,,,
Merrie Spaeth,,,F,,,,,,,,,,,,
Fay Spain,,,F,,,,,,,,,,,,
Vincent Spano,,,M,,,,,,,,,,,,
Ned Sparks,Sparkman,Edward,M,hard-boiled, cigar-chewing,1927,,1883,1957,Canada,,,,,
Camilla Sparv,Sparv,Camilla,F,lead,1966,1969,1943,,Sweden,,,,,,
Hazel Spears,,,F,,,,,,,,,,,,
Bruce Spence,,,M,,,,,,,,,,,,
Bud Spencer,Pedersoli,Carlo,M,spaghetti westerns,1967,1974,1929,,Italy,,,,,,
George Spencer,,,M,,,,,,,,,,,,
Jeremy Spenser,Spenser,Jeremy,M,lead,1948,1966,1937,,Great Britain,,,,,,
David Spielberg,Spielberg,David,M,character,1972,1976,,,USA,,,,,,
Joe Spinell,,,M,,,,,,,,,,,,
Victor Spinetti,Spinetti,Victor,M,comic,1964,1976,1932,,Great Britain,,,,,,
The Loving Spoonful,,,G,,,,,,,,,,,,
G.D. Spradlin,,,M,,,,,,,,,,,,
Rick Springfield,,,M,,,,,,,,,,,,
Ronald Squire,Squire,Ronald,M,character,1934,1958,1886,1958,Great Britain,,,,,,
Robert Stack,Modini,Robert,M,personable cold-eyed,1939,1981,1919,,USA,,,,,,
James Stacy,,,M,,,,,,,,,,,,
Frederick Stafford,Stafford,Frederick,M,he-man,,1969,1928,1979,Austria,,,,,,
Richard Stahl,,,M,,,,,,,,,,,,
Philip Stainton,Stainton,Philip,M,surprised expression,1947,1956,1908,1961,Great Britain,,,,,,
Sylvester Stallone,Stallone,Sylvester,M,solemn-looking,1970,1997,1946,,USA,,,,,,
James Staley,,,M,,,,,,,,,,,,
Terence Stamp,Stamp,Terence,M,juvenile lead,1962,1978,1940,,Great Britain,,,,,,
Enid StampTaylor,Stamp-Taylor,Enid,F,character,1937,1946,1904,1946,Great Britain,,,,,,
Lionel Stander,Stander,Lionel,M,gravel-voiced,1934,1994,1908,,USA,,,,,,
Guy Standing,Standing,Sir Guy,M,,1933,1937,1873,1937,Great Britain,,,,,,
John Standing,Leon,John,M,character,1962,1977,1934,,Great Britain,,,,,,
Michael StAngel,St. Angel,Michael,M,,1954,,,,Or,,,,,,
Jiri Stanislav,,,M,,,,,,,,,,,,
Forrest Stanley,,,M,,,,,,,,,,,,
Kim Stanley,Reid,Patricia,F,,1958,1983,1921,,USA,,,,,,
Lora Stanley,,,F,,,,,,,,,,,,
Frank Stanmore,,,M,,,,,,,,,,,,
Harry Dean Stanton,Stanton,Harry,M,character,1962,1983,1926,,USA,,,,,,
Barbara Stanwyck,Stevens,Ruby,F,durable, competentsultry,1927,[4.981],1907,1990,USA,,,,,
Jean Stapleton,Murray,Jean,F,pragmatic wife,1958,1971,1923,,USA,,,,,,
Maureen Stapleton,Stapleton,Maureen,F,character,1959,1994,1925,,USA,,,,,,
Graham Stark,Stark,Graham,M,comedy,1961,1966,1922,,Great Britain,,,,,,
Koo Stark,,,F,,,,,,,,,,,,
Pauline Starke,Starke,Pauline,F,silent,1916,1926,1901,1977,USA,,,,,,
Kay Starr,,,F,,,,,,,,,,,,
Ringo Starr,,,M,,,,,,,,,,,,
Charles Starrett,Starrett,Charles,M,cowboy,1926,1952,1904,,USA,,,,,,
Valerie Starrett,,,F,,,,,,,,,,,,
Imaelda Staunton,,,F,,,,,,,,,,,,
Alison Steadman,,,F,,,,,,,,,,,,
Anthony Steel,Steel,Anthony,M,athletic,1949,1974,1920,,Great Britain,,,,,,
Barbara Steele,Steele,Barbara,F,frightening,1958,1965,1938,,Great Britain,,,,,,
Bob Steele,Bradbury,Robert,M,cowboy,1920,1966,1907,,USA,,,,,,
Tommy Steele,Hicks,Tommy,M,energetic pop singer,1955,1969,1936,,Great Britain,,,,,,
Mary Steenburgen,Steenburgen,Mary,F,pleasant,1978,1989,1952,,USA,,,,,,
Simonetta Stefanelli,,,F,,,,,,,,,,,,
Rod Steiger,Steiger,Rod,M,burly,1951,1982,1925,,USA,,,,,,
David Steinberg,,,M,,,,,,,,,,,,
John Steiner,,,M,,,,,,,,,,,,
Albert Steinruck,,,M,,,,,,,,,,,,
Carolyn Steller,,,F,,,,,,,,,,,,
Anna Sten,Stenskaja Sudakevich,Annel,F,lead,1927,1962,1908,1993,Russia,,,,,,
Karel Stepanek,Stepanek,Karel,M,character,1943,1969,1899,1980,Czechoslovakia,,,,,,
Susan Stephen,Stephen,Susan,F,lead,1951,1963,1931,,Great Britain,,,,,,
Ann Stephens,Stephens,Ann,F,juvenile,1942,1958,1931,,Great Britain,,,,,,
Harvey Stephens,,,M,,1955,,,,USA,,,,,,
Harvey Stephens,,,M,weird kid,1976,,1970,,USA,,,,,,
Martin Stephens,Stephens,Martin,M,juvenile,1961,1966,1949,,Great Britain,,,,,,
Pamela Stephens,,,F,,,,,,,,,,,,
Robert Stephens,Stephens,Robert,M,,1960,1973,1931,,Great Britain,,,,,,
Henry Stephenson,Garroway,H.S.,M,kindly old men,1917,1948,1871,1956,Great Britain,,,,,,
James Stephenson,Stephenson,James,M,suave,1938,1941,1888,1941,Great Britain,,,,,,
Pamela Stephenson,Stephenson,Pamela,F,lead,1981,1983,1951,,New Zealand,,,,,,
Ilse Steppat,Steppat,Ilse,F,character,1947,1969,1917,1969,Germany,,,,,,
Ford Sterling,Stitch,George F.,M,comic,1926,1935,1883,1939,USA,,,,,,
Jan Sterling,Adriance,Jan Sterling,F,lead,1948,1979,1923,,USA,,,,,,
Linda Sterling,,,F,tiger woman,,,,1991,USA,,,,,,
Robert Sterling,Hart,William John,M,lead,1939,1962,1917,,USA,,,,,,
Tisa Sterling,,,F,raven-haired beach bunny,1964,,,,USA,,,,,,
Jimmy Sterman,,,M,,,,,,,,,,,,
Daniel Stern,,,M,,,,,,,,,,,,
Erik Stern,,,M,,,,,,,,,,,,
Tom Stern,,,M,,,,,,,,,,,,
Frances Sternhagen,,,F,,,,,,,,,,,,
Andrew Stevens,Stevens,Andrew,M,lead,1976,1981,1955,,USA,,,,,,
Casey Stevens,,,M,,,,,,,,,,,,
Connie Stevens,Ingolia,Concetta,F,lead,1957,1976,1938,,USA,,,,,,
Craig Stevens,Shekles,Gail,M,lead,1941,1976,1918,,USA,,,,,,
Inger Stevens,Stensland,Inger,F,pert,1957,1970,1935,1970,Sweden,,,,,,
K.T. Stevens,Wood,Gloria,F,lead,1940,1958,1919,,USA,,,,,,
Leslie Stevens,Stevens,Leslie,M,,,,1924,,USA,,,,,,
Mark Stevens,Richards,Stephen,M,lead,1945,1966,1916,,USA,,,,,,
Morgan Stevens,,,,,,,,,,,,,,,
Onslow Stevens,Stevenson,Onslow Ford,M,character,1932,1963,1902,1977,USA,,,,,,
Rise Stevens,Stevens,Rise,F,opera singer,1941,1947,1913,,USA,,,,,,
Robert Stevens,,,M,,,,1925,,,,,,,,
Ronnie Stevens,Stevens,Ronnie,M,comic,1952,1968,1925,,Great Britain,,,,,,
Stella Stevens,Eggleston,Estelle,F,lead,1958,1981,1936,,USA,,,,,,
Warren Stevens,Stevens,Warren,M,general purpose,1951,1968,1919,,USA,,,,,,
Housely Stevenson,Stevenson,Housely,M,gaunt, unshaven old man,1942,,1879,1953,USA,,,,,
MacLean Stevenson,,,M,,,,,,,,,,,,
Alana Stewart,,,F,,,,,,,,,,,,
Alexandra Stewart,Stewart,Alexandra,F,lead,1960,1974,1939,,Canada,,,,,,
Anita Stewart,Stewart,Anna May,F,silent lead,1913,1928,1895,1961,USA,,,,,,
Athole Stewart,Stewart,Athole,M,character,1931,1940,1879,1940,Great Britain,,,,,,
Catherine Mary Stewart,,,F,,,,,,,,,,,,
Charlotte Stewart,,,F,,,,,,,,,,,,
Donald Stewart,,,M,,,,,,,,,,,,
Elaine Stewart,Steinberg,Elsy,F,lead,1951,1961,1929,,USA,,,,,,
James Stewart,Stewart,James Maitland,M,slow drawl, gangly walk,1935,[4.747,853, 101.132],1908,1997,USA,,,
Paul Stewart,Stewart,Paul,M,sinister roles,1941,1978,1908,1986,USA,,,,,,
Patrick Stewart,Stewart,Patrick,,bald evil captain,1990,1997,,,Great Britain,,,,,,
Sandy Stewart,,,,,,,,,,,,,,,
Sophie Stewart,Stewart,Sophie,F,,1935,1956,1909,1977,Great Britain,,,,,,
Renee StCyr,St Cyr,Renee,F,lead,1933,1976,1907,,France,,,,,,
Ivy StHelier,,,F,,,,,,,,,,,,
Pat Stich,,,,,,,,,,,,,,,
David Ogden Stiers,Stiers,David Ogden,M,tall, balding,1970,,,,USA,,,,,
Hugo Stiglitz,,,M,,,,,,,,,,,,
Ben Stiller,Stiller,Ben,M,sr,1995,,,,USA,,,,,,
Sting,,,G,,1973,,,,,,,,,,
Raymond StJacques,Johnson,James,M,black lead,1964,1978,1930,1990,USA,,,,,,
Al (`Fuzzy') StJohn,St John,Al,M,character,1913,1949,1893,1963,USA,,,,,,
Betta StJohn,Streidler,Betta,F,lead,1953,1961,1930,,USA,,,,,,
Christopher StJohn,St John,Christopher,M,,1971,,,,USA,,,,,,
Howard StJohn,St John,Howard,M,character,1950,1969,1905,1974,USA,,,,,,
Jill StJohn,Oppenheim,Jill,F,lead,1957,1972,1940,,USA,,,,,,
Nigel Stock,Stock,Nigel,M,character,1938,1975,1919,1986,Great Britain,,,,,,
Walter Stocker,,,M,,,,,,,,,,,,
Betty Stockfield,Stockfield,Betty,F,,1930,1957,1905,1906,Great Britain,,,,,,
Dean Stockwell,Stockwell,Dean,M,handsome,1945,1982,1938,,USA,,,,,,
Guy Stockwell,Stockwell,Guy,M,lead,1965,1976,1936,,USA,,,,,,
John Stockwell,,,M,,,,,,,,,,,,
Austin Stoker,,,M,,,,,,,,,,,,
Shirley Stoler,,,F,,,,,,,,,,,,
Eric Stoltz,Stoltz,Eric,M,stud,1984,1994,1962,,,,,,,,
Christopher Stone,,,M,,,,,,,,,,,,
Danny Stone,,,M,,,,,,,,,,,,
Fred Stone,,,M,,,,,,,,,,,,
George E. Stone,Stein,George,M,oppressed little man,1930,1956,1903,1967,Poland,,,,,,
Harold J. Stone,Stone,Harold,M,character,1956,1975,1911,,USA,,,,,,
Ivory Stone,,,F,,,,,,,,,,,,
Lewis Stone,Stone,Lewis,M,silent lead, character,1915,,1879,1953,USA,,,,,
Marianne Stone,Stone,Marianne,F,character,1951,1967,1920,,Great Britain,,,,,,
Milburn Stone,Stone,Milburn,M,character,1935,1957,1904,1980,USA,,,,,,
Philip Stone,,,M,,,,,,,,,,,,
Sharon Stone,Stone,Sharon,F,provocative,1981,1997,,,USA,,,,,,
Paolo Stoppa,Stoppa,Paolo,M,character,1949,1967,1906,,Italy,,,,,,
Larry Storch,Storch,Larry,M,comic,1963,1972,1923,,USA,,,,,,
Gale Storm,Cottle,Josephine,F,All-American girl,1939,1959,131],1922,,USA,,,,,
Ludwig Stossel,Stossel,Ludwig,M,character,1939,1960,1883,1973,Austria,,,,,,
Rose Stradner,Stradner,Rose,F,,1938,1944,1913,1958,Austria,,,,,,
Beatrice Straight,Straight,Beatrice,F,character,1976,1983,1916,,USA,,,,,,
Glenn Strange,Strange,Glenn,M,cowboy,1937,1973,1899,1973,USA,,,,,,
Lee Strasberg,Strasberg,Lee,F,drama teacher,1974,1979,1901,1982,USA,,,,,,
Susan Strasberg,Strasberg,Susan,F,lead,1955,1983,1938,,USA,,,,,,
Marcia Strassman,,,F,,,,,,,,,,,,
Dorothy Stratten,Stratten,Dorothy,F,playmate,1990,1982,1960,1980,,,,,,,
Peter Strauss,Strauss,Peter,M,lead,1971,1983,1942,,USA,,,,,,
Robert Strauss,Strauss,Robert,M,comedy,1952,1965,1913,1975,USA,,,,,,
Meryl Streep,Streep,Mary Louise,F,lead,1977,1983,1951,,USA,,,,,,
Russel Streiner,,,M,,,,,,,,,,,,
Barbra Streisand,Streisand,Barbara Joan,F,odd looks,1968,1983,1942,,USA,,,,,,
Ray Stricklyn,Stricklyn,Ray,M,second lead,1956,1965,1930,,USA,,,,,,
John Stride,Stride,John,M,supporting,1963,1975,1936,,Great Britain,,,,,,
Elaine Stritch,Stritch,Elaine,F,comedienne,1955,1978,1926,,USA,,,,,,
Woody Strode,Strode,Woodrow,M,tall black,1951,1983,1914,,USA,,,,,,
Don Stroud,Stroud,Don,M,lead,1968,1979,1937,,USA,,,,,,
Annette Stroyberg,Stroyberg,Annette,F,sr,1959,,,,,,,,,,
Sally Ann Struthers,Struthers,Sally,F,character,1970,1976,1947,,USA,,,,,,
Barbara Stuart,,,F,,,,,,,,,,,,
Binkie Stuart,Stuart,Binkie,F,child,1937,1939,1932,,Great Britain,,,,,,
Gloria Stuart,Finch,Gloria Stuart,F,lead,1932,1946,1909,1995,USA,,,,,,
John Stuart,Croall,John,M,lead, character,1920,,1898,1979,Great Britain,,,,,
Richard Styles,,,M,,,,,,,,,,,,
Margaret Sullavan,Brooke,Margaret,F,whimsical,1933,1950,1911,1960,USA,,,,,,
Barry Sullivan,Barry,Patrick,M,rugged lead,1943,1977,1912,1994,USA,,,,,,
Ed Sullivan,,,M,,,,,,,,,,,,
Francis L. Sullivan,Sullivan,Francis L.,M,heavywieight advocate,1933,1955,1903,1956,Great Britain,,,,,,
Michael Sullivan,,,M,,,,,,,,,,,,
Tom Sullivan,,,M,,,,,,,,,,,,
Frank Sully,Sully,Frank,M,farmer, dumb crook,1935,,1910,1975,USA,,,,,
Madame SulTeWan,Sul-Te-Wan,,F,black slave,1937,,,,USA,,,,,,
Donna Summer,,,F,,,,,,,,,,,,
Eleanor Summerfield,Summerfield,Eleanor,F,comedienne,1947,1970,1921,,Great Britain,,,,,,
Slim Summerville,Summerville,George J.,M,lanky, mournful,1927,,1892,1946,USA,,,,,
Geoffrey Sumner,Sumner,Geoffrey,M,silly ass type,1949,1955,1908,,Great Britain,,,,,,
Clinton Sundberg,Sundberg,Clinton,M,flustered clerk, head waiter,1946,,1919,,USA,,,,,
Todd Susman,,,M,,,,,,,,,,,,
Donald Sutherland,Sutherland,Donald,M,gaunt,1963,1983,1935,,Canada,,,,,,
Kiefer Sutherland,Sutherland,Kiefer,M,,1990,,1968,,USA,,,,,,
Dudley Sutton,Sutton,Dudley,M,character,1963,1971,1933,,Great Britain,,,,,,
Frank Sutton,,,M,,,,,,,,,,,,
Grady Sutton,Sutton,Grady,M,vacuous country cousin,1932,1966,1908,,USA,,,,,,
John Sutton,Sutton,John,M,swashbuckling villain,1937,1959,1908,1963,Great Britain,,,,,,
Janet Suzman,Suzman,Janet,F,,1970,1981,1939,,South Africa,,,,,,
Bo Svenson,Svenson,Bo,M,action lead,1975,1981,1941,,USA,,,,,,
Dominique Swain,Swain,Dominique,F,sexy teen,1998,,,1982,,,,,,,
Mack Swain,Swain,Mack,M,silent,1914,1932,1876,1935,USA,,,,,,
Robert Swann,,,M,,,,,,,,,,,,
Forrest Swanson,,,M,,,,,,,,,,,,
Gary Swanson,,,M,,,,,,,,,,,,
Gloria Swanson,Swenson,Josephine,F,silent lead,1915,1974,1897,1983,USA,,,,,,
Maureen Swanson,Swanson,Maureen,F,lead,1953,1963,1932,,Great Britain,,,,,,
Gladys Swarthout,Swarthout,Gladys,F,opera singer,1935,1939,1904,1969,USA,,,,,,
Patrick Swayze,,Swazey,M,hero,1983,1990,1952,,USA,,,,,,
Bob Sweeney,Sweeney,,M,warm, half bald,1960,[34.186],,,USA,,,,,
Blanche Sweet,Wayne,Daphne,F,silent heroine,1911,1930,1895,1986,USA,,,,,,
Dolph Sweet,Sweet,Dolph,M,barrel-chested,1961,1981,,,USA,,,,,,
Inga Swenson,Swenson,Inga,F,,1961,1979,1932,,USA,,,,,,
Stanley Swerdlow,,,M,,,,,,,,,,,,
Nora Swinburne,Johnson,Elinore,F,,1930,1971,1902,,Great Britain,,,,,,
Loretta Swit,Swit,Loretta,F,comedy,1972,1981,1937,,USA,,,,,,
Carl (`Alfalfa') Switzer,Switzer,Carl,M,character,1937,1958,1926,1959,USA,,,,,,
Ken Swofford,Swofford,Ken,M,burly,1964,1982,,,USA,,,,,,
Basil Sydney,Nugent,Basil,M,heavy roles,1920,1960,1894,1968,Great Britain,,,,,,
Eric Sykes,Sykes,Eric,M,comedian,1961,1983,1923,,Great Britain,,,,,,
Harold Sylvester,,,M,,,,,,,,,,,,
William Sylvester,Sylvester,William,M,lead,1950,1978,1922,,USA,,,,,,
Sylvie,Sylvain,Louise,F,character,1937,1964,1883,1970,France,,,,,,
Donald Symington,,,M,,,,,,,,,,,,
Sylvia Syms,Syms,Sylvia,F,lead,1956,1974,1934,,Great Britain,,,,,,
Mr. T,,,M,,,,,,,,,,,,
Sidney Tafler,Tafler,Sidney,M,character,1946,1977,1916,1979,Great Britain,,,,,,
George Takei,,,M,,,,,,,,,,,,
Lyle Talbot,Talbot,Lyle,M,hood,1917,1987,1902,,USA,,,,,,
Constance Talmadge,Talmadge,Constance,F,silent heroine,1915,1929,1898,1973,USA,,,,,,
Norma Talmadge,Talmadge,Norma,F,lead, silent,1914,,1893,1969,USA,,,,,
William Talman,Talman,William,M,crook, cop,1949,,1915,1968,USA,,,,,
Tetsuro Tamba,Tamba,Tetsuro,M,,1961,1975,1929,,Japan,,,,,,
Russ Tamblyn,Tamblyn,Russ,M,buoyant dancer, tumbler,1950,,1934,,USA,,,,,
Zoe Tamerlis,Tamerlis,Zoe,F,,1981,,1965,,,,,,,,
Akim Tamiroff,Tamiroff,Akim,M,character,1934,1968,1899,1972,Russia,,,,,,
Mary Tamm,,,F,,,,,,,,,,,,
Jessica Tandy,Tandy,Jessica,F,dignified charm,1944,1989,1909,1994,Great Britain,,,,,,
Yoki Tani,Tani,Yoki,F,lead,1957,1966,1932,,Japan,,,,,,
Tony Tanner,Tanner,Tony,M,light,1964,1966,1932,,Great Britain,,,,,,
Colin Tapley,Tapley,Colin,M,character,1934,1956,1911,,New Zealand,,,,,,
Quentin Tarantino,Tarantino,Quentin,M,tough,1992,1994,,,USA,,,,,,
Lilyan Tashman,Tashman,Lilyan,F,silent sophisticate,1921,1933,1899,1934,USA,,,,,,
Reba Tassel,Tassel,Reba,F,nice girl,1956,,,,USA,,,,,,
Reginald Tate,Tate,Reginald,M,character,1935,1955,1896,1955,Great Britain,,,,,,
Sharon Tate,Tate,Sharon,F,lead,1967,1969,1943,1969,USA,,,,,,
Jaques Tati,Tati,Jaques,M,pantomimist,1949,1974,1908,1982,France,,,,,,
Sven-Bertil Taube,Taube,Sven-Bertil,M,lead,1970,1979,,,Sweden,,,,,,
Richard Tauber,Tauber,Richard,M,operatic tenor,1931,1945,1892,1948,Austria,,,,,,
Vic Tayback,Tayback,Vic,M,tough-looking,1968,1977,,1990,USA,,,,,,
Alma Taylor,Taylor,Alma,F,silent screen,1909,1957,1895,1974,Great Britain,,,,,,
Delores Taylor,,,F,,,,,,,,,,,,
Don Taylor,Taylor,Don,M,light lead,1948,1957,1920,,USA,,,,,,
Dub Taylor,,,M,,,,,,,,,,,,
Elizabeth Taylor,Taylor,Elizabeth,M,beauty,1942,1977,1932,,USA,,,,,,
Estelle Taylor,Boylan,Estelle,F,,1922,1928,1899,1958,USA,,,,,,
George Taylor,,,M,,,,,,,,,,,,
Kent Taylor,Weiss,Louis,M,suave,1932,1973,696],1907,,USA,,,,,
Kit Taylor,,,,,,,,,,,,,,,
Laurette Taylor,Cooney,Laurette,F,lead,1922,,1884,1946,USA,,,,,,
Renee Taylor,,,F,,,,,,,,,,,,
Rip Taylor,,,M,,,,,,,,,,,,
Robert Taylor,Brugh,Spangler Arlington,M,durable,1934,1968,1911,1969,USA,,,,,,
Rod Taylor,Taylor,Robert,M,lead,1954,1983,1929,,Australia,,,,,,
Sharon Taylor,,,F,,,,,,,,,,,,
Valerie Taylor,Taylor,Valerie,F,sr,1942,,,1988,,,,,,,
Vaughn Taylor,,,M,,1960,,,,,,,,,,
Zack Taylor,,,M,,,,,,,,,,,,
Leigh TaylorYoung,Taylor-Young,Leigh,F,lead,1968,1981,1944,,USA,,,,,,
Ray Teal,Teal,Ray,M,character,1940,1971,1902,1976,USA,,,,,,
Conway Tearle,Levy,Frederick,M,lead,1918,1936,1878,1938,USA,,,,,,
Godfrey Tearle,Tearle,Sir Godfrey,M,distinguished,1906,1953,1884,1953,Great Britain,,,,,,
Verree Teasdale,Teasdale,Verree,F,sophisticated or suspicious,1929,1941,1904,,USA,,,,,,
Shirley Temple,Temple,Shirley,F,child prodigy,1932,1949,942],1928,,USA,,,,,
Victoria Tennant,Tennant,Victoria,F,lead,1972,1983,1950,,Great Britain,,,,,,
William Tepper,,,M,,,,,,,,,,,,
Ellaline Teriss,Lewin,Ellen,F,beautiful,1922,1939,1871,1971,Great Britain,,,,,,
Alice Terry,Taafe,Alice,F,silent lead,1916,1928,1899,,USA,,,,,,
Don Terry,Locher,Donald,M,hero,1928,1943,1902,,USA,,,,,,
Ellen Terry,Terry,Ellen,F,distinguished,1917,1922,1848,1928,Great Britain,,,,,,
Harry Terry,,,M,,,,,,,,,,,,
Nigel Terry,,,M,,,,,,,,,,,,
Philip Terry,Terry,Philip,M,lead,1941,1947,1909,,USA,,,,,,
TerryThomas,Terry-Thomas,,M,sr,1966,1977,,1990,,,,,,,
Laurent Terzieff,Terzieff,Laurent,M,lead,1958,1978,,,France,,,,,,
Desmond Tester,Tester,Desmond,M,boy,1935,1974,1919,,Great Britain,,,,,,
Joan Tetzel,Tetzel,Joan,F,lead,1946,1965,1924,1977,USA,,,,,,
Lauren Tewes,,,F,,,,,,,,,,,,
Heather Thatcher,Thatcher,Heather,F,light,1917,1955,1897,,Great Britain,,,,,,
Torin Thatcher,Thatcher,Torin,M,tough-looking,1934,1967,1905,1981,Great Britain,,,,,,
John Thaw,Thaw,John,M,rough-speaking,1962,1978,1942,,Great Britain,,,,,,
Phyllis Thaxter,Thaxter,Phyllis,F,lead,1944,1972,1921,,USA,,,,,,
Lorna Thayer,,,F,,,,,,,,,,,,
Joe Theismann,,,M,,,,,,,,,,,,
Jodi Thelen,,,F,,,,,,,,,,,,
Charlize Theron,,,F,,1994,,,,South Africa,,,,,,
Ernest Thesiger,Thesiger,Ernest,M,skeletal-looking,1929,1961,1879,1961,Great Britain,,,,,,
Jack Thibeau,,,M,,,,,,,,,,,,
Ursula Thiess,Thiess,Ursula,F,lead,1952,1955,1929,,Germany,,,,,,
Helene Thimig,Thimig,Helene,F,character,1944,1947,1889,1974,Germany,,,,,,
Roy Thinnes,Thinnes,Roy,M,stocky,1964,1979,1938,,USA,,,,,,
Brondon Thomas,,,M,,,,,,,,,,,,
Danny Thomas,Yakhoob (Jacobs),Muzyad (Amos),M,comedian,1947,1977,1914,1991,USA,,,,,,
Heather Thomas,,,F,,,,,,,,,,,,
Henry Thomas,,,M,,,,,,,,,,,,
Jameson Thomas,Thomas,Jameson,M,`the other man',1927,1938,1892,1939,Great Britain,,,,,,
Kristin Scott Thomas,,,F,,,,,,,,,,,,
Marlo Thomas,Thomas,Margaret,F,lead,1964,1977,1944,,USA,,,,,,
Richard Thomas,Thomas,Richard,M,juvenile lead,1969,1980,1951,,USA,,,,,,
Terry Thomas,Hoar-Stevens,Terry Thomas,M,gap-toothed,1956,1977,1911,,Great Britain,,,,,,
Tim Thomerson,,,M,,,,,,,,,,,,
Carlos Thompson,Mundanschaffter,Juan Carlos,M,insightful,1953,1966,1916,1990,Argentina,,,,,,
Derek Thompson,,,M,,,,,,,,,,,,
Dorri Thompson,,,,,,,,,,,,,,,
Emma Thompson,Thompson,Emma,F,collected,1989,1993,,,,,,,,,
Fred Thompson,Fred,Thompsn,M,,1990,1997,,1997,USA,,,,,,
Eric Thompson,Thompson,Eric,M,,1971,,1929,1982,Great Britain,,,,,,
Hal Thompson,,,M,,,,,,,,,,,,
J.Lee Thompson,Lee Thompson,J.Lee,M,,,,1914,,Great Britain,,,,,,
Jack Thompson,Payne,John,M,lead,1970,1983,1940,,Australia,,,,,,
Lea Thompson,,,F,,,,,,,,,,,,
Linda Thompson,,,F,,,,,,,,,,,,
Kay Thompson,,,F,,,,,,,,,,,,
Kim Thompson,,,F,,,,,,,,,,,,
Marshall Thompson,Thompson,Marshall,M,lead,1944,1977,1925,,USA,,,,,,
Sada Thompson,Thompson,Sada,M,gentle-looking,1970,1979,1929,,USA,,,,,,
Shawn Thompson,,,M,,,,,,,,,,,,
Martha Thomsen,,,F,,,,,,,,,,,,
Fred Thomson,Thomson,Fred,M,cowboy,1922,1928,1890,1928,USA,,,,,,
Sybil Thorndyke,Thorndyke,Sybil Dame,F,distinguished,1921,1961,1882,1976,Great Britain,,,,,,
Frank Thornton,Thornton,Frank,M,comic,1968,1973,1921,,Great Britain,,,,,,
Sigrid Thornton,Thornton,Sigrid,F,lead,1980,1983,1959,,Australia,,,,,,
Frank Thring,Thring,Frank,M,,1959,1961,,,Australia,,,,,,
Thu Thuy,,,,tootsie,,,,,Vietnam,,,,,,
Ingrid Thulin,Thulin,Ingrid,F,lead,1955,1977,1929,,Sweden,,,,,,
Bill Thurman,,,M,,,,,,,,,,,,
Theodora Thurman,,,F,,,,,,,,,,,,
Uma Thurman,Thurman,Uma,F,guarded,1987,1993,1971,,USA,,,,,,
Tiana,Nga,Tiana Thi Thanh,F,sr,1975,,,,Vietnam,,,,,,
Lawrence Tibbett,Tibbett,Lawrence,M,opera star,1930,1937,1896,1960,USA,,,,,,
Joseph Ticka,,,M,,,,,,,,,,,,
Cheryl Tiegs,Tiegs,Cheryl,F,slim,,,,,USA,,,,,,
